action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1481212,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg Med Chem Lett,2005,"{'bei': '9.37', 'le': '0.24', 'lle': '-0.09', 'sei': '7.37'}",CHEMBL191575,,CHEMBL191575,4.90,0,http://www.openphacts.org/units/Nanomolar,384846,=,1,1,=,,IC50,nM,,12570.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,12.57
,,1481219,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg Med Chem Lett,2005,"{'bei': '9.90', 'le': '0.25', 'lle': '1.05', 'sei': '8.25'}",CHEMBL370923,,CHEMBL370923,4.76,0,http://www.openphacts.org/units/Nanomolar,384826,=,1,1,=,,IC50,nM,,17500.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,17.5
,,1610716,[],CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,,,CHEMBL1141032,J Med Chem,2005,"{'bei': '7.49', 'le': '0.14', 'lle': '1.66', 'sei': '2.77'}",CHEMBL194398,,CHEMBL194398,4.35,0,http://www.openphacts.org/units/Nanomolar,403248,=,1,1,=,,IC50,nM,,45000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,45.0
,,1610719,[],CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J Med Chem,2005,"{'bei': '7.44', 'le': '0.14', 'lle': '1.35', 'sei': '2.65'}",CHEMBL196635,,CHEMBL196635,4.16,0,http://www.openphacts.org/units/Nanomolar,403249,=,1,1,=,,IC50,nM,,70000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,70.0
,,1720026,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCN1C(=O)C(=O)c2cc(I)ccc21,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '12.70', 'le': '0.36', 'lle': '1.56', 'sei': '11.18'}",CHEMBL209287,,CHEMBL209287,4.18,0,http://www.openphacts.org/units/Nanomolar,491287,=,1,1,=,,IC50,nM,,66000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,66.0
,,1720279,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '19.47', 'le': '0.35', 'lle': '3.76', 'sei': '7.99'}",CHEMBL358279,,CHEMBL358279,6.43,0,http://www.openphacts.org/units/Nanomolar,491306,=,1,1,=,,IC50,nM,,370.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,0.37
,,1720280,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '17.49', 'le': '0.32', 'lle': '3.39', 'sei': '6.09'}",CHEMBL348660,,CHEMBL348660,4.90,0,http://www.openphacts.org/units/Nanomolar,491304,=,1,1,=,,IC50,nM,,12500.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,12.5
,,1720281,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '19.17', 'le': '0.36', 'lle': '3.61', 'sei': '5.87'}",CHEMBL379727,,CHEMBL379727,4.72,0,http://www.openphacts.org/units/Nanomolar,491303,=,1,1,=,,IC50,nM,,19000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,19.0
,,1720282,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '19.82', 'le': '0.37', 'lle': '3.88', 'sei': '5.72'}",CHEMBL210525,,CHEMBL210525,4.60,0,http://www.openphacts.org/units/Nanomolar,491302,=,1,1,=,,IC50,nM,,25000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,25.0
,,1720283,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '20.32', 'le': '0.38', 'lle': '4.21', 'sei': '5.16'}",CHEMBL148483,,CHEMBL148483,4.15,0,http://www.openphacts.org/units/Nanomolar,491301,=,1,1,=,,IC50,nM,,71000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,71.0
,,1720284,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '14.42', 'le': '0.35', 'lle': '1.79', 'sei': '15.94'}",CHEMBL383725,,CHEMBL383725,5.96,0,http://www.openphacts.org/units/Nanomolar,491289,=,1,1,=,,IC50,nM,,1100.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,1.1
,,1720285,[],CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,,,CHEMBL1148529,J Med Chem,2006,"{'bei': '11.84', 'le': '0.31', 'lle': '1.28', 'sei': '11.51'}",CHEMBL118596,,CHEMBL118596,4.30,0,http://www.openphacts.org/units/Nanomolar,491288,=,1,1,=,,IC50,nM,,50000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,50.0
,,1720621,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '11.66', 'le': '0.25', 'lle': '-0.78', 'sei': '8.15'}",CHEMBL208732,,CHEMBL208732,5.52,0,http://www.openphacts.org/units/Nanomolar,491910,=,1,1,=,,IC50,nM,,3019.95,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,5.52
,,1720622,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '11.67', 'le': '0.25', 'lle': '-0.78', 'sei': '8.15'}",CHEMBL208732,,CHEMBL208732,5.52,0,http://www.openphacts.org/units/Nanomolar,491910,=,1,1,=,,IC50,nM,,3000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,3.0
,,1720623,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148632,J Med Chem,2006,,CHEMBL210146,,CHEMBL210146,,0,http://www.openphacts.org/units/Nanomolar,491937,=,1,1,=,,IC50,nM,,301995.17,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,3.52
,,1720624,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148632,J Med Chem,2006,,CHEMBL210146,,CHEMBL210146,,0,http://www.openphacts.org/units/Nanomolar,491937,=,1,1,=,,IC50,nM,,300000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,300.0
,,1720625,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148632,J Med Chem,2006,,CHEMBL207458,,CHEMBL207458,,0,http://www.openphacts.org/units/Nanomolar,491936,=,1,1,=,,IC50,nM,,251188.64,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,3.6
,,1720626,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148632,J Med Chem,2006,,CHEMBL207458,,CHEMBL207458,,0,http://www.openphacts.org/units/Nanomolar,491936,=,1,1,=,,IC50,nM,,250000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,250.0
,,1720627,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148632,J Med Chem,2006,,CHEMBL207484,,CHEMBL207484,,0,http://www.openphacts.org/units/Nanomolar,491935,=,1,1,=,,IC50,nM,,204173.79,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,3.69
,,1720628,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1148632,J Med Chem,2006,,CHEMBL207484,,CHEMBL207484,,0,http://www.openphacts.org/units/Nanomolar,491935,=,1,1,=,,IC50,nM,,200000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,200.0
,,1720629,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '9.95', 'le': '0.20', 'lle': '-0.67', 'sei': '4.74'}",CHEMBL207207,,CHEMBL207207,4.00,0,http://www.openphacts.org/units/Nanomolar,491934,=,1,1,=,,IC50,nM,,100000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,4.0
,,1720630,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '9.95', 'le': '0.20', 'lle': '-0.67', 'sei': '4.74'}",CHEMBL207207,,CHEMBL207207,4.00,0,http://www.openphacts.org/units/Nanomolar,491934,=,1,1,=,,IC50,nM,,100000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,100.0
,,1720631,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '9.12', 'le': '0.17', 'lle': '-0.22', 'sei': '3.37'}",CHEMBL210487,,CHEMBL210487,4.22,0,http://www.openphacts.org/units/Nanomolar,491933,=,1,1,=,,IC50,nM,,60255.96,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,4.22
,,1720632,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '9.13', 'le': '0.17', 'lle': '-0.22', 'sei': '3.37'}",CHEMBL210487,,CHEMBL210487,4.22,0,http://www.openphacts.org/units/Nanomolar,491933,=,1,1,=,,IC50,nM,,60000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,60.0
,,1720633,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '10.92', 'le': '0.21', 'lle': '0.74', 'sei': '4.64'}",CHEMBL380470,,CHEMBL380470,4.34,0,http://www.openphacts.org/units/Nanomolar,491932,=,1,1,=,,IC50,nM,,45708.82,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,4.34
,,1720634,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '10.94', 'le': '0.21', 'lle': '0.75', 'sei': '4.65'}",CHEMBL380470,,CHEMBL380470,4.35,0,http://www.openphacts.org/units/Nanomolar,491932,=,1,1,=,,IC50,nM,,45000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,45.0
,,1720635,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '11.88', 'le': '0.24', 'lle': '-0.67', 'sei': '8.00'}",CHEMBL210612,,CHEMBL210612,4.39,0,http://www.openphacts.org/units/Nanomolar,491931,=,1,1,=,,IC50,nM,,40738.03,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,4.39
,,1720636,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '11.90', 'le': '0.24', 'lle': '-0.66', 'sei': '8.01'}",CHEMBL210612,,CHEMBL210612,4.40,0,http://www.openphacts.org/units/Nanomolar,491931,=,1,1,=,,IC50,nM,,40000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,40.0
,,1720637,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '10.54', 'le': '0.22', 'lle': '-1.02', 'sei': '5.96'}",CHEMBL209667,,CHEMBL209667,4.82,0,http://www.openphacts.org/units/Nanomolar,491930,=,1,1,=,,IC50,nM,,15135.61,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,4.82
,,1720638,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '10.55', 'le': '0.22', 'lle': '-1.02', 'sei': '5.96'}",CHEMBL209667,,CHEMBL209667,4.82,0,http://www.openphacts.org/units/Nanomolar,491930,=,1,1,=,,IC50,nM,,15000.0,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,IC50,uM,UO_0000065,,15.0
,,1720639,[],CHEMBL871248,Inhibition of SARS coronavirus 3C-like protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,,,CHEMBL1148632,J Med Chem,2006,"{'bei': '9.18', 'le': '0.19', 'lle': '-2.04', 'sei': '5.96'}",CHEMBL210097,,CHEMBL210097,4.82,0,http://www.openphacts.org/units/Nanomolar,491929,=,1,1,=,,IC50,nM,,15135.61,CHEMBL3927,Severe acute respiratory syndrome-related coronavirus,SARS coronavirus 3C-like proteinase,694009,,,-Log IC50,,UO_0000065,,4.82
